Qatar,70.81
Equateur,73.81
Sénégal,78.81
Pays-Bas,83.36
Angleterre,84.81
Iran,73.54
Etats-Unis,76.45
Pays de Galles,73.63
Argentine,83.63
Arabie saoudite,71.45
Mexique,78.18
Pologne,78.90
France,84.27
Australie,72.72
Danemark,80.0
Tunisie,72.63
Espagne,83.90
Costa Rica,73.45
Allemagne,85.36
Japon,75.72
Belgique,82.90
Canada,74.09
Maroc,79.36
Croatie,81.63
Brésil,84.54
Serbie,79.72
Suisse,79.09
Cameroun,75.27
Portugal,84.90
Ghana,76.90
Uruguay,81.09
Corée du Sud,75.09
